Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Isotope Distribution,Maximum Abundance,Minimum CV%,20190805_Blank_Pos_06a,20190805_Blank_Pos_06a,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
3.54_610.1612n,610.1611844,628.19501,1,3.53865,0.2968,0,100 - 58.9 - 42.7 - 16.6 - 6.68,63496.67052,---,63496.67052,63496.67052,,,"M+H-H2O, M+NH4, M+Na",,,,,,,
3.56_240.0675n,240.0674657,223.0641774,1,3.555116667,0.346216667,0,100 - 22.8,10924.66161,---,10924.66161,10924.66161,,,"M+H-H2O, M+H",,,,,,,
3.77_505.0870m/z,,505.0869542,1,3.769566667,0.23125,0,100 - 43.7,3166.14461,---,3166.14461,3166.14461,,,,,,,,,,
3.80_355.0707m/z,,355.0706627,1,3.802516667,0.1983,0,100 - 21.4,1670.795519,---,1670.795519,1670.795519,,,,,,,,,,
3.82_507.1006m/z,,507.1006472,1,3.81965,0.247716667,0,100 - 38.9,4482.740673,---,4482.740673,4482.740673,,,,,,,,,,
3.97_298.0550n,298.0549641,281.0516759,1,3.967883333,0.313266667,0,100 - 25.6 - 11.8,12711.62586,---,12711.62586,12711.62586,,,"M+H-H2O, M+H",,,,,,,
3.98_223.0643m/z,,223.0642705,1,3.98435,0.44505,0,100 - 27,7588.462428,---,7588.462428,7588.462428,,,,,,,,,,
3.98_371.1018m/z,,371.1018356,1,3.98435,0.4286,0,100 - 35.8 - 15.4 - 2.7,14953.02303,---,14953.02303,14953.02303,,,,,,,,,,
4.00_332.0966n,332.0966245,297.0827715,1,4.000816667,0.4286,0,100 - 23.3,8059.706759,---,8059.706759,8059.706759,,,"M+H-2H2O, M+Na",,,,,,,
4.00_478.1784m/z,,478.1784319,1,4.000816667,0.1153,0,100 - 38.7,1436.445644,---,1436.445644,1436.445644,,,,,,,,,,
4.00_520.1109n,520.1109049,538.1447304,1,4.000816667,0.280333333,0,100 - 52.3 - 32.1 - 10.9,21607.73973,---,21607.73973,21607.73973,,,"M+NH4, M+Na",,,,,,,
