Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Isotope Distribution,Maximum Abundance,Minimum CV%,20190805_Blank_Neg_06,20190805_Blank_Neg_06,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
18.33_777.9652n,777.9652301,776.9579537,1,18.33195,0.2968,0,100 - 38.9,25507.72541,---,25507.72541,25507.72541,,,"M-H, M+Na-2H",,,,,,,
18.33_679.9899n,679.9899057,738.9494479,1,18.33195,0.51125,0,100 - 35.3,44915.05568,---,44915.05568,44915.05568,,,"M+Cl, M+CH3COOH",,,,,,,
18.33_695.9808n,695.9807567,716.9588009,1,18.33195,0.313266667,0,100 - 34.7,25991.87133,---,25991.87133,25991.87133,,,"M-H2O-H, M+Na-2H",,,,,,,
18.32_621.9868n,621.9868167,642.9615831,1,18.31546667,0.362683333,0,100 - 27.6,34064.73428,---,34064.73428,34064.73428,,,"M-H, M+Na-2H",,,,,,,
17.90_547.9607n,547.9606618,568.9783844,1,17.90305,1.418133333,0,100 - 31.6,82309.58057,---,82309.58057,82309.58057,,,"M-H, M+Na-2H",,,,,,,
18.35_571.9823n,571.9822927,552.9644516,1,18.34841667,0.2968,0,100 - 25,20889.47552,---,20889.47552,20889.47552,,,"M-H2O-H, M-H",,,,,,,
18.30_442.0170n,442.017032,463.0129438,1,18.299,0.280316667,0,100 - 20.4,40969.48475,---,40969.48475,40969.48475,,,"M-H, M+Na-2H",,,,,,,
18.30_466.0541n,466.0540983,447.0362572,1,18.299,5.673483333,0,100 - 31.6,892669.6404,---,892669.6404,892669.6404,,,"M-H2O-H, M-H",,,,,,,
17.85_334.0013n,334.0013473,392.9698894,1,17.85363333,0.0494,0,100 - 16.8,3299.637989,---,3299.637989,3299.637989,,,"M-H, M+CH3COOH",,,,,,,
18.33_727.9650n,727.9650048,726.9577284,1,18.33195,0.659483333,0,100 - 36.6 - 50.4,89724.1593,---,89724.1593,89724.1593,,,"M-H, M+Na-2H",,,,,,,
18.35_516.0230n,516.0229657,536.9904977,1,18.34841667,0.313266667,0,100 - 21.8,24142.99606,---,24142.99606,24142.99606,,,"M-H, M+Na-2H",,,,,,,
18.28_787.9837n,787.9836513,768.9658102,1,18.28253333,0.3462,0,100 - 32.7 - 28.9,31603.16158,---,31603.16158,31603.16158,,,"M-H2O-H, M-H",,,,,,,
