Compound,Neutral mass (Da),m/z,Charge,Retention time (min),Chromatographic peak width (min),Identifications,Isotope Distribution,Maximum Abundance,Minimum CV%,20190805_Blank_Neg_06,20190805_Blank_Neg_06,Accepted Compound ID,Accepted Description,Adducts,Formula,Score,Fragmentation Score,Mass Error (ppm),Isotope Similarity,Retention Time Error (mins),Compound Link
17.00_332.9970m/z,,332.996976,1,16.99616667,0.08235,0,100 - 36.6,3183.469703,---,3183.469703,3183.469703,,,,,,,,,,
17.00_208.8462m/z,,208.8461599,1,16.99616667,0.412433333,0,100,2114.242405,---,2114.242405,2114.242405,,,,,,,,,,
17.03_174.9310m/z,,174.9310391,1,17.02911667,0.066216667,0,100,359.8556805,---,359.8556805,359.8556805,,,,,,,,,,
17.08_540.9489m/z,,540.9489178,1,17.07851667,0.74215,0,100 - 29.1,31192.6922,---,31192.6922,31192.6922,,,,,,,,,,
17.10_241.0113m/z,,241.0113371,1,17.095,0.098833333,0,100 - 19.4,1793.632813,---,1793.632813,1793.632813,,,,,,,,,,
17.11_300.8810m/z,,300.8809737,1,17.11146667,0.1153,0,100,1967.928123,---,1967.928123,1967.928123,,,,,,,,,,
17.13_592.9574m/z,,592.9574069,1,17.12793333,0.148233333,0,100 - 39.3,6938.153603,---,6938.153603,6938.153603,,,,,,,,,,
17.14_292.9918m/z,,292.9918237,1,17.1444,0.2968,0,100 - 73.4,7350.471865,---,7350.471865,7350.471865,,,,,,,,,,
17.19_315.0313m/z,,315.0312642,1,17.19381667,0.082683333,0,100 - 55.4,2568.847434,---,2568.847434,2568.847434,,,,,,,,,,
17.23_298.9262m/z,,298.9261721,1,17.22675,0.082683333,0,100,855.0236893,---,855.0236893,855.0236893,,,,,,,,,,
17.28_332.9971m/z,,332.9970637,1,17.2765,0.04975,0,100 - 42.2,1895.867378,---,1895.867378,1895.867378,,,,,,,,,,
17.31_250.8356m/z,,250.8355999,1,17.30943333,0.214116667,0,100,1436.679684,---,1436.679684,1436.679684,,,,,,,,,,
17.34_414.9306m/z,,414.9306133,1,17.34238333,0.065883333,0,100 - 17,3198.611069,---,3198.611069,3198.611069,,,,,,,,,,
17.38_754.9741m/z,,754.9740853,1,17.37531667,0.428566667,0,100 - 35.8,22340.83224,---,22340.83224,22340.83224,,,,,,,,,,
17.39_325.0089m/z,,325.0088649,1,17.3918,0.03295,0,100 - 36.6,1173.967479,---,1173.967479,1173.967479,,,,,,,,,,
17.41_572.9653m/z,,572.9653227,1,17.40826667,0.412433333,0,100 - 28.8,19828.13543,---,19828.13543,19828.13543,,,,,,,,,,
17.46_178.9420m/z,,178.942044,1,17.45768333,0.065883333,0,100,442.2865772,---,442.2865772,442.2865772,,,,,,,,,,
17.47_281.2509m/z,,281.2508581,1,17.47415,0.39595,0,100,2876.636326,---,2876.636326,2876.636326,,,,,,,,,,
17.47_208.8463m/z,,208.8462904,1,17.47415,0.04975,0,100,301.5214081,---,301.5214081,301.5214081,,,,,,,,,,
17.49_272.8850m/z,,272.8850071,1,17.49095,0.165033333,0,100,2151.546694,---,2151.546694,2151.546694,,,,,,,,,,
17.52_332.9951m/z,,332.995072,1,17.52388333,0.08235,0,100 - 53.2,2804.342983,---,2804.342983,2804.342983,,,,,,,,,,
17.56_140.9151m/z,,140.9151454,1,17.55683333,0.197983333,0,100,980.4254379,---,980.4254379,980.4254379,,,,,,,,,,
17.59_156.9829m/z,,156.9828969,1,17.58976667,0.098816667,0,100,792.5140991,---,792.5140991,792.5140991,,,,,,,,,,
17.62_310.9287m/z,,310.928668,1,17.62271667,0.115283333,0,100 - 21,4643.561089,---,4643.561089,4643.561089,,,,,,,,,,
17.64_308.9844m/z,,308.9844323,1,17.63918333,0.280666667,0,100 - 29.6,9449.886257,---,9449.886257,9449.886257,,,,,,,,,,
17.66_315.0236m/z,,315.0236028,1,17.65565,0.230916667,0,100 - 32.8,10839.89947,---,10839.89947,10839.89947,,,,,,,,,,
17.69_116.9730m/z,,116.9729924,1,17.6886,17.46711667,0,100,687338.7089,---,687338.7089,687338.7089,,,,,,,,,,
17.74_272.9944m/z,,272.9943773,1,17.73833333,0.04975,0,100,1020.413439,---,1020.413439,1020.413439,,,,,,,,,,
17.75_298.9266m/z,,298.9266269,1,17.75481667,0.1321,0,100,1249.428204,---,1249.428204,1249.428204,,,,,,,,,,
17.77_292.9323m/z,,292.9322636,1,17.77128333,0.066216667,0,100 - 25.9,2585.918014,---,2585.918014,2585.918014,,,,,,,,,,
17.82_346.8721m/z,,346.8720878,1,17.8207,0.115283333,0,100,1219.180777,---,1219.180777,1219.180777,,,,,,,,,,
17.84_376.9369m/z,,376.9368637,1,17.83716667,0.08235,0,100 - 17.4,3945.824576,---,3945.824576,3945.824576,,,,,,,,,,
17.89_272.9935m/z,,272.993508,1,17.88656667,0.1815,0,100 - 44.6,3933.743368,---,3933.743368,3933.743368,,,,,,,,,,
17.90_199.1712m/z,,199.1711623,1,17.90305,0.082683333,0,100,446.9016209,---,446.9016209,446.9016209,,,,,,,,,,
17.92_184.9616m/z,,184.9616251,1,17.91951667,0.362683333,0,100,2655.016529,---,2655.016529,2655.016529,,,,,,,,,,
17.99_438.9710m/z,,438.9709703,1,17.98573333,2.985466667,0,100 - 20.5,184585.6937,---,184585.6937,184585.6937,,,,,,,,,,
17.99_346.8717m/z,,346.8717072,1,17.98573333,0.181166667,0,100,1977.766669,---,1977.766669,1977.766669,,,,,,,,,,
18.04_297.2506m/z,,297.2506437,1,18.03515,0.065866667,0,100,770.0846863,---,770.0846863,770.0846863,,,,,,,,,,
18.05_281.9821m/z,,281.9820604,1,18.05161667,0.08235,0,100 - 57.3,3442.451527,---,3442.451527,3442.451527,,,,,,,,,,
18.05_167.9336m/z,,167.9335638,1,18.05161667,0.363016667,0,100,1670.856677,---,1670.856677,1670.856677,,,,,,,,,,
18.07_560.9546m/z,,560.95463,1,18.06808333,0.4121,0,100 - 26.9,18967.64301,---,18967.64301,18967.64301,,,,,,,,,,
18.07_195.9348m/z,,195.9347949,1,18.06808333,0.131766667,0,100,746.5606878,---,746.5606878,746.5606878,,,,,,,,,,
18.13_506.9880m/z,,506.9879957,1,18.13396667,0.032933333,0,100 - 55.4,2648.128171,---,2648.128171,2648.128171,,,,,,,,,,
18.13_377.0871m/z,,377.0870822,1,18.13396667,0.0494,0,100,663.5446491,---,663.5446491,663.5446491,,,,,,,,,,
18.17_208.8460m/z,,208.8460029,1,18.1669,0.08235,0,100,509.9221706,---,509.9221706,509.9221706,,,,,,,,,,
18.22_292.9427m/z,,292.9426611,1,18.21631667,0.082683333,0,100 - 25,3416.476559,---,3416.476559,3416.476559,,,,,,,,,,
18.25_272.9926m/z,,272.9926024,1,18.24958333,0.165033333,0,100 - 40.1,3697.659902,---,3697.659902,3697.659902,,,,,,,,,,
18.30_529.0217m/z,,529.0216839,1,18.299,0.148566667,0,100 - 22,9253.839764,---,9253.839764,9253.839764,,,,,,,,,,
18.30_502.9860m/z,,502.9860079,1,18.299,0.26385,0,100 - 24.5,11538.02148,---,11538.02148,11538.02148,,,,,,,,,,
18.32_158.9783m/z,,158.9783134,1,18.31546667,0.362683333,0,100 - 8.34 - 1.37,31652.39666,---,31652.39666,31652.39666,,,,,,,,,,
18.32_596.9906m/z,,596.9906203,1,18.31546667,0.362683333,0,100 - 27.1,19564.51304,---,19564.51304,19564.51304,,,,,,,,,,
18.32_812.9496m/z,,812.9495604,1,18.31546667,0.1647,0,100 - 34.5,7116.762815,---,7116.762815,7116.762815,,,,,,,,,,
18.32_635.4144m/z,,635.4143529,1,18.31546667,0.5936,0,100,5673.432106,---,5673.432106,5673.432106,,,,,,,,,,
18.33_433.0203m/z,,433.0202931,1,18.33195,5.459033333,0,100 - 28.3,453468.4721,---,453468.4721,453468.4721,,,,,,,,,,
18.33_550.9961m/z,,550.9960816,1,18.33195,0.148233333,0,100 - 28.8,7754.565134,---,7754.565134,7754.565134,,,,,,,,,,
18.33_666.9761m/z,,666.9760833,1,18.33195,0.445033333,0,100 - 31.7,24749.60513,---,24749.60513,24749.60513,,,,,,,,,,
18.36_500.9837m/z,,500.9837108,1,18.36488333,2.935716667,0,100 - 31,142231.9019,---,142231.9019,142231.9019,,,,,,,,,,
18.36_452.9995m/z,,452.9995419,1,18.36488333,0.197633333,0,100 - 27.1,7803.325472,---,7803.325472,7803.325472,,,,,,,,,,
18.38_373.0113m/z,,373.0113016,1,18.38135,0.280316667,0,100 - 12.3,15591.54152,---,15591.54152,15591.54152,,,,,,,,,,
18.38_658.9831m/z,,658.9831371,1,18.38135,0.230916667,0,100 - 28.4,12050.37463,---,12050.37463,12050.37463,,,,,,,,,,
18.38_357.8342m/z,,357.8341539,1,18.38135,0.165033333,0,100,2891.564971,---,2891.564971,2891.564971,,,,,,,,,,
18.40_194.9840m/z,,194.9840286,1,18.39781667,0.08235,0,100 - 5.06,2459.11992,---,2459.11992,2459.11992,,,,,,,,,,
18.40_636.9690m/z,,636.9690426,1,18.39781667,0.2968,0,100 - 34.3,14117.91684,---,14117.91684,14117.91684,,,,,,,,,,
18.41_392.9990m/z,,392.9990421,1,18.4143,0.181166667,0,100 - 22.1,8695.044227,---,8695.044227,8695.044227,,,,,,,,,,
18.41_173.0136m/z,,173.0136154,1,18.4143,17.5824,0,100,410006.9286,---,410006.9286,410006.9286,,,,,,,,,,
18.43_243.0136m/z,,243.0135674,1,18.43076667,0.1153,0,100 - 7.82,2728.96641,---,2728.96641,2728.96641,,,,,,,,,,
18.43_136.8629m/z,,136.8629074,1,18.43076667,0.08235,0,100,379.6293303,---,379.6293303,379.6293303,,,,,,,,,,
18.46_168.9666m/z,,168.9665969,1,18.4637,0.09915,0,100,711.8212425,---,711.8212425,711.8212425,,,,,,,,,,
18.50_989.3245m/z,,989.324521,1,18.49698333,0.280333333,0,100 - 33.4 - 7.22,8414.649628,---,8414.649628,8414.649628,,,,,,,,,,
18.53_179.8830m/z,,179.8829609,1,18.52991667,0.049416667,0,100,1008.446224,---,1008.446224,1008.446224,,,,,,,,,,
18.56_616.7605m/z,,616.760463,1,18.56286667,0.08235,0,100,1006.243031,---,1006.243031,1006.243031,,,,,,,,,,
18.58_538.7820m/z,,538.7819842,1,18.57933333,0.098816667,0,100 - 25.8,4574.806221,---,4574.806221,4574.806221,,,,,,,,,,
18.58_476.8202m/z,,476.8201549,1,18.57933333,0.115283333,0,100 - 22.8,3386.984714,---,3386.984714,3386.984714,,,,,,,,,,
18.60_382.8385m/z,,382.8384847,1,18.5958,0.1647,0,100 - 21.7,15249.54334,---,15249.54334,15249.54334,,,,,,,,,,
18.60_180.9408m/z,,180.9408217,1,18.5958,0.197983333,0,100 - 6.98 - 4.62,8091.793184,---,8091.793184,8091.793184,,,,,,,,,,
18.60_546.7819m/z,,546.7819498,1,18.5958,0.08235,0,100 - 31.5,1996.394464,---,1996.394464,1996.394464,,,,,,,,,,
18.60_484.8180m/z,,484.818029,1,18.5958,0.1153,0,100 - 29.8,2120.351433,---,2120.351433,2120.351433,,,,,,,,,,
18.60_136.8929m/z,,136.8929049,1,18.5958,0.131766667,0,100,3361.809726,---,3361.809726,3361.809726,,,,,,,,,,
18.61_165.0205m/z,,165.020487,1,18.61226667,0.230583333,0,100 - 18.1,3959.288489,---,3959.288489,3959.288489,,,,,,,,,,
18.63_642.7241m/z,,642.7241417,1,18.62873333,0.1153,0,100 - 29,2601.990736,---,2601.990736,2601.990736,,,,,,,,,,
18.65_356.8505m/z,,356.850483,1,18.64521667,0.428883333,0,100 - 28.9,16236.88956,---,16236.88956,16236.88956,,,,,,,,,,
18.65_416.8174m/z,,416.8174177,1,18.64521667,0.1153,0,100 - 30.9,3437.70747,---,3437.70747,3437.70747,,,,,,,,,,
18.66_430.8340m/z,,430.8339541,1,18.66168333,0.049416667,0,100,641.8728333,---,641.8728333,641.8728333,,,,,,,,,,
18.69_156.9436m/z,,156.9436016,1,18.69461667,0.4783,0,100 - 10.8,46758.0626,---,46758.0626,46758.0626,,,,,,,,,,
18.69_339.9033m/z,,339.9033416,1,18.69461667,0.066216667,0,100 - 18.2,1229.541126,---,1229.541126,1229.541126,,,,,,,,,,
18.73_337.9052m/z,,337.9051731,1,18.72756667,0.593933333,0,100,16153.17429,---,16153.17429,16153.17429,,,,,,,,,,
18.81_234.9213m/z,,234.9212763,1,18.81025,0.445366667,0,100 - 15.6,36113.52951,---,36113.52951,36113.52951,,,,,,,,,,
18.89_121.9449m/z,,121.9448531,1,18.8926,0.165033333,0,100,696.4668045,---,696.4668045,696.4668045,,,,,,,,,,
18.97_292.8921m/z,,292.8921457,1,18.97495,0.379483333,0,100 - 21.9,14037.50591,---,14037.50591,14037.50591,,,,,,,,,,
18.99_232.9253m/z,,232.9253325,1,18.99175,0.346533333,0,100,15722.00133,---,15722.00133,15722.00133,,,,,,,,,,
18.97_297.1554m/z,,297.1553705,1,18.97495,0.082683333,0,100,692.3093157,---,692.3093157,692.3093157,,,,,,,,,,
18.94_146.9678m/z,,146.967812,1,18.94201667,0.297133333,0,100,1903.527416,---,1903.527416,1903.527416,,,,,,,,,,
18.88_352.8589m/z,,352.8588829,1,18.87613333,0.264183333,0,100 - 18.9,5918.358557,---,5918.358557,5918.358557,,,,,,,,,,
18.79_250.9327m/z,,250.9326857,1,18.79378333,0.2474,0,100 - 15.6 - 11.8,8028.830514,---,8028.830514,8028.830514,,,,,,,,,,
18.74_168.9643m/z,,168.9642577,1,18.74436667,0.412416667,0,100,3623.897451,---,3623.897451,3623.897451,,,,,,,,,,
18.73_170.9598m/z,,170.959822,1,18.72756667,0.1321,0,100 - 19.5,2639.427084,---,2639.427084,2639.427084,,,,,,,,,,
18.69_138.9331m/z,,138.9331293,1,18.69461667,0.066216667,0,100 - 7.71,2122.941589,---,2122.941589,2122.941589,,,,,,,,,,
18.68_175.0598m/z,,175.0598462,1,18.67815,0.065883333,0,100,446.814766,---,446.814766,446.814766,,,,,,,,,,
18.66_158.9396m/z,,158.9395862,1,18.66168333,0.511566667,0,100 - 11.9,46617.80948,---,46617.80948,46617.80948,,,,,,,,,,
18.66_176.9499m/z,,176.949923,1,18.66168333,0.428883333,0,100 - 10.3,26358.03509,---,26358.03509,26358.03509,,,,,,,,,,
18.65_103.0034m/z,,103.003392,1,18.64521667,0.2968,0,100,1221.740515,---,1221.740515,1221.740515,,,,,,,,,,
18.65_374.8607m/z,,374.86071,1,18.64521667,0.263866667,0,100 - 27.6,6774.327368,---,6774.327368,6774.327368,,,,,,,,,,
18.65_236.9169m/z,,236.9169499,1,18.64521667,0.445366667,0,100 - 17.4,140782.1852,---,140782.1852,140782.1852,,,,,,,,,,
18.63_215.0612m/z,,215.0612282,1,18.62873333,0.115283333,0,100,1380.152046,---,1380.152046,1380.152046,,,,,,,,,,
18.63_562.7692m/z,,562.7691816,1,18.62873333,0.098833333,0,100 - 48.4,2424.690978,---,2424.690978,2424.690978,,,,,,,,,,
18.63_432.8292m/z,,432.8292389,1,18.62873333,0.08235,0,100 - 19.8,1433.371254,---,1433.371254,1433.371254,,,,,,,,,,
18.63_498.7867m/z,,498.7867254,1,18.62873333,0.131766667,0,100 - 28.9,3807.888378,---,3807.888378,3807.888378,,,,,,,,,,
18.63_500.7807m/z,,500.7806778,1,18.62873333,0.1647,0,100 - 27.8,5406.851318,---,5406.851318,5406.851318,,,,,,,,,,
18.61_126.9045m/z,,126.9045011,1,18.61226667,0.165033333,0,100,545.9620476,---,545.9620476,545.9620476,,,,,,,,,,
18.61_174.0418m/z,,174.0417924,1,18.61226667,0.13175,0,100,712.9449215,---,712.9449215,712.9449215,,,,,,,,,,
18.61_392.8669m/z,,392.8669322,1,18.61226667,0.098816667,0,100,892.2090073,---,892.2090073,892.2090073,,,,,,,,,,
18.61_121.0298m/z,,121.0298163,1,18.61226667,0.230916667,0,100,1223.421897,---,1223.421897,1223.421897,,,,,,,,,,
18.61_684.7217m/z,,684.7216799,1,18.61226667,0.065866667,0,100 - 52.4,1662.77887,---,1662.77887,1662.77887,,,,,,,,,,
18.61_390.8713m/z,,390.871326,1,18.61226667,0.115283333,0,100 - 17.8,1523.238581,---,1523.238581,1523.238581,,,,,,,,,,
18.61_584.7454m/z,,584.745385,1,18.61226667,0.1153,0,100 - 33.4,4006.228549,---,4006.228549,4006.228549,,,,,,,,,,
18.61_134.8948m/z,,134.8948353,1,18.61226667,0.197633333,0,100 - 9.99,9059.435372,---,9059.435372,9059.435372,,,,,,,,,,
18.60_207.0290m/z,,207.0289885,1,18.5958,0.08235,0,100,714.8212185,---,714.8212185,714.8212185,,,,,,,,,,
18.60_324.8728m/z,,324.8727667,1,18.5958,0.148233333,0,100,2679.18623,---,2679.18623,2679.18623,,,,,,,,,,
18.60_686.7222m/z,,686.7222111,1,18.5958,0.08235,0,100 - 32.1,1709.263233,---,1709.263233,1709.263233,,,,,,,,,,
18.60_486.8177m/z,,486.8177168,1,18.5958,0.08235,0,100 - 37.6,1489.72383,---,1489.72383,1489.72383,,,,,,,,,,
18.60_362.8382m/z,,362.8381715,1,18.5958,0.148233333,0,100 - 23 - 16.9,5608.391739,---,5608.391739,5608.391739,,,,,,,,,,
18.60_420.8091m/z,,420.8091274,1,18.5958,0.181166667,0,100 - 29.6 - 47.1,5818.566881,---,5818.566881,5818.566881,,,,,,,,,,
18.60_322.8762m/z,,322.876179,1,18.5958,0.181166667,0,100 - 17.9,4907.562183,---,4907.562183,4907.562183,,,,,,,,,,
18.60_320.8772m/z,,320.8771699,1,18.5958,0.197633333,0,100 - 18.1,11167.8579,---,11167.8579,11167.8579,,,,,,,,,,
18.60_384.8385m/z,,384.8385153,1,18.5958,0.181166667,0,100 - 22.6 - 18.3,9979.088403,---,9979.088403,9979.088403,,,,,,,,,,
18.58_660.7137m/z,,660.7136726,1,18.57933333,0.08235,0,100,1356.548809,---,1356.548809,1356.548809,,,,,,,,,,
18.58_618.7586m/z,,618.7585984,1,18.57933333,0.098816667,0,100 - 31.5,2146.101082,---,2146.101082,2146.101082,,,,,,,,,,
18.58_598.7468m/z,,598.7468472,1,18.57933333,0.13175,0,100 - 23.2,2822.362154,---,2822.362154,2822.362154,,,,,,,,,,
18.58_474.8258m/z,,474.8257635,1,18.57933333,0.115283333,0,100 - 19.6,2154.84611,---,2154.84611,2154.84611,,,,,,,,,,
18.58_402.8384m/z,,402.838362,1,18.57933333,0.148233333,0,100 - 18.9,4316.517471,---,4316.517471,4316.517471,,,,,,,,,,
18.58_442.8089m/z,,442.8089325,1,18.57933333,0.19765,0,100 - 27.3 - 36.2,12487.08391,---,12487.08391,12487.08391,,,,,,,,,,
18.56_206.9381m/z,,206.9380793,1,18.56286667,0.115283333,0,100,523.027388,---,523.027388,523.027388,,,,,,,,,,
18.56_664.7126m/z,,664.7125808,1,18.56286667,0.08235,0,100 - 29.3,1486.289696,---,1486.289696,1486.289696,,,,,,,,,,
18.56_536.7884m/z,,536.7884297,1,18.56286667,0.065883333,0,100 - 34.7,1244.110874,---,1244.110874,1244.110874,,,,,,,,,,
18.55_576.7618m/z,,576.7618138,1,18.54638333,0.1153,0,100 - 15.9,2026.58664,---,2026.58664,2026.58664,,,,,,,,,,
18.55_696.7183m/z,,696.7183149,1,18.54638333,0.065883333,0,100,1076.481972,---,1076.481972,1076.481972,,,,,,,,,,
18.56_398.8428m/z,,398.8427737,1,18.56286667,0.115283333,0,100 - 22.6,13250.29907,---,13250.29907,13250.29907,,,,,,,,,,
18.56_396.8471m/z,,396.8470933,1,18.56286667,0.115283333,0,100 - 20.5,8678.218127,---,8678.218127,8678.218127,,,,,,,,,,
18.56_380.8400m/z,,380.8399511,1,18.56286667,0.230583333,0,100 - 23.4,29416.43483,---,29416.43483,29416.43483,,,,,,,,,,
18.55_394.8525m/z,,394.8524535,1,18.54638333,0.08235,0,100,1120.392754,---,1120.392754,1120.392754,,,,,,,,,,
18.55_258.9029m/z,,258.9029254,1,18.54638333,0.115283333,0,100,4278.219711,---,4278.219711,4278.219711,,,,,,,,,,
18.55_458.8098m/z,,458.8098366,1,18.54638333,0.115283333,0,100 - 23.5,6536.25419,---,6536.25419,6536.25419,,,,,,,,,,
18.53_336.8668m/z,,336.8667547,1,18.52991667,0.1647,0,100,3145.278741,---,3145.278741,3145.278741,,,,,,,,,,
18.53_318.8790m/z,,318.8789824,1,18.52991667,0.247383333,0,100 - 17.2,16708.3246,---,16708.3246,16708.3246,,,,,,,,,,
18.53_456.8130m/z,,456.813,1,18.52991667,0.13175,0,100 - 23,4994.726772,---,4994.726772,4994.726772,,,,,,,,,,
18.50_200.9460m/z,,200.9460333,1,18.49698333,0.263866667,0,100,3262.05396,---,3262.05396,3262.05396,,,,,,,,,,
18.46_236.9932m/z,,236.9932046,1,18.4637,0.065883333,0,100,1177.75253,---,1177.75253,1177.75253,,,,,,,,,,
18.46_827.2712m/z,,827.2711534,1,18.4637,0.115616667,0,100 - 35,3398.956749,---,3398.956749,3398.956749,,,,,,,,,,
18.43_346.8717m/z,,346.8717365,1,18.43076667,0.69275,0,100,18660.78499,---,18660.78499,18660.78499,,,,,,,,,,
18.41_223.7984m/z,,223.7984376,1,18.4143,0.1321,0,100,702.7045107,---,702.7045107,702.7045107,,,,,,,,,,
18.41_740.9850m/z,,740.9849848,1,18.4143,0.065883333,0,100 - 20.8,2377.612061,---,2377.612061,2377.612061,,,,,,,,,,
18.41_374.9932m/z,,374.9931682,1,18.4143,1.583166667,0,100 - 25.1 - 5.04,101178.3129,---,101178.3129,101178.3129,,,,,,,,,,
18.41_127.0019m/z,,127.001863,1,18.4143,0.214116667,0,100 - 4.55 - 5.03,20832.74402,---,20832.74402,20832.74402,,,,,,,,,,
18.40_355.8365m/z,,355.8364739,1,18.39781667,0.1815,0,100,2519.97189,---,2519.97189,2519.97189,,,,,,,,,,
18.40_450.9743m/z,,450.9743256,1,18.39781667,0.08235,0,100 - 27.5,2448.05661,---,2448.05661,2448.05661,,,,,,,,,,
18.38_510.9786m/z,,510.9785709,1,18.38135,0.08235,0,100,2574.310181,---,2574.310181,2574.310181,,,,,,,,,,
18.38_102.9572m/z,,102.9572176,1,18.38135,7.322916667,0,100,306369.8582,---,306369.8582,306369.8582,,,,,,,,,,
18.38_598.9771m/z,,598.9770818,1,18.38135,4.271833333,0,100 - 40.7,232407.5383,---,232407.5383,232407.5383,,,,,,,,,,
18.38_442.9768m/z,,442.9767821,1,18.38135,4.79955,0,100 - 35.5,223621.9429,---,223621.9429,223621.9429,,,,,,,,,,
18.36_129.9763m/z,,129.9763227,1,18.36488333,6.92695,0,100,267875.5195,---,267875.5195,267875.5195,,,,,,,,,,
18.36_742.9584m/z,,742.9583713,1,18.36488333,0.197633333,0,100 - 28.3,9174.668673,---,9174.668673,9174.668673,,,,,,,,,,
18.36_388.9643m/z,,388.9642834,1,18.36488333,0.32975,0,100 - 33.6,10227.19067,---,10227.19067,10227.19067,,,,,,,,,,
18.36_308.9520m/z,,308.9520435,1,18.36488333,0.065883333,0,100 - 65.6,1105.831467,---,1105.831467,1105.831467,,,,,,,,,,
18.36_576.9965m/z,,576.9964818,1,18.36488333,0.247383333,0,100 - 27.2,12207.93337,---,12207.93337,12207.93337,,,,,,,,,,
18.36_449.0087m/z,,449.0086599,1,18.36488333,5.409616667,0,100 - 34.7 - 53.8 - 21.7,566169.7721,---,566169.7721,566169.7721,,,,,,,,,,
18.35_700.9538m/z,,700.9537772,1,18.34841667,0.3462,0,100 - 26.6,16580.03291,---,16580.03291,16580.03291,,,,,,,,,,
18.35_256.9943m/z,,256.9942774,1,18.34841667,0.197633333,0,100,4491.096963,---,4491.096963,4491.096963,,,,,,,,,,
18.33_678.9823m/z,,678.9823426,1,18.33195,0.19765,0,100 - 23.8,10960.65248,---,10960.65248,10960.65248,,,,,,,,,,
18.35_591.0073m/z,,591.0073087,1,18.34841667,1.121316667,0,100 - 32.2,67305.87455,---,67305.87455,67305.87455,,,,,,,,,,
18.35_308.9878m/z,,308.9877752,1,18.34841667,0.610066667,0,100 - 26.9,19859.33519,---,19859.33519,19859.33519,,,,,,,,,,
18.33_364.9752m/z,,364.9751986,1,18.33195,0.065883333,0,100,1257.445534,---,1257.445534,1257.445534,,,,,,,,,,
18.33_618.9840m/z,,618.9839908,1,18.33195,0.115283333,0,100 - 36.9,6540.783146,---,6540.783146,6540.783146,,,,,,,,,,
18.33_656.9625m/z,,656.9624722,1,18.33195,0.494766667,0,100 - 34.5,25993.78506,---,25993.78506,25993.78506,,,,,,,,,,
18.33_702.9606m/z,,702.9605619,1,18.33195,0.362683333,0,100 - 30.4 - 88.8,29680.70308,---,29680.70308,29680.70308,,,,,,,,,,
18.33_582.9775m/z,,582.9775399,1,18.33195,1.53375,0,100 - 33.1,88027.56602,---,88027.56602,88027.56602,,,,,,,,,,
18.33_640.9503m/z,,640.9502855,1,18.33195,0.42855,0,100 - 31.7,19763.14943,---,19763.14943,19763.14943,,,,,,,,,,
18.33_394.9598m/z,,394.9597803,1,18.33195,0.8904,0,100 - 26,34282.11949,---,34282.11949,34282.11949,,,,,,,,,,
18.33_512.9730m/z,,512.9730372,1,18.33195,0.214116667,0,100 - 14.8,6884.849907,---,6884.849907,6884.849907,,,,,,,,,,
18.33_420.9976m/z,,420.9975542,1,18.33195,1.038983333,0,100 - 20.8,55345.37305,---,55345.37305,55345.37305,,,,,,,,,,
18.33_351.0160m/z,,351.0159632,1,18.33195,4.997516667,0,100 - 26.5 - 33 - 3.11,550021.1604,---,550021.1604,550021.1604,,,,,,,,,,
18.32_722.9533m/z,,722.9533124,1,18.31546667,0.181183333,0,100 - 31.4,9480.514568,---,9480.514568,9480.514568,,,,,,,,,,
18.32_736.9585m/z,,736.9585365,1,18.31546667,0.230916667,0,100 - 36.9,10459.27463,---,10459.27463,10459.27463,,,,,,,,,,
18.32_524.9837m/z,,524.9837367,1,18.31546667,0.164716667,0,100 - 26.6,7053.226434,---,7053.226434,7053.226434,,,,,,,,,,
18.32_100.9340m/z,,100.9339526,1,18.31546667,0.412433333,0,100 - 9.89,9104.996484,---,9104.996484,9104.996484,,,,,,,,,,
18.30_128.9502m/z,,128.950178,1,18.299,0.099166667,0,100,473.0984272,---,473.0984272,473.0984272,,,,,,,,,,
18.30_708.9733m/z,,708.973288,1,18.299,0.527716667,0,100 - 33.7,28229.11283,---,28229.11283,28229.11283,,,,,,,,,,
18.30_551.0113m/z,,551.0113069,1,18.299,0.115616667,0,100 - 27.6,7409.17468,---,7409.17468,7409.17468,,,,,,,,,,
18.30_610.9960m/z,,610.996046,1,18.299,0.280316667,0,100 - 30.5,15861.38815,---,15861.38815,15861.38815,,,,,,,,,,
18.30_545.0061m/z,,545.0060729,1,18.299,0.395616667,0,100 - 27.4,20805.02091,---,20805.02091,20805.02091,,,,,,,,,,
18.30_115.9210m/z,,115.9210032,1,18.299,0.1815,0,100 - 9.74,2985.685988,---,2985.685988,2985.685988,,,,,,,,,,
18.30_130.9446m/z,,130.9446017,1,18.299,0.2968,0,100 - 9.77 - 9.42,22266.96262,---,22266.96262,22266.96262,,,,,,,,,,
18.27_538.9838m/z,,538.9837969,1,18.26606667,0.527716667,0,100 - 25.5,28451.62403,---,28451.62403,28451.62403,,,,,,,,,,
18.28_622.9569m/z,,622.9568796,1,18.28253333,0.758633333,0,100 - 31,35294.175,---,35294.175,35294.175,,,,,,,,,,
18.28_314.9976m/z,,314.9976134,1,18.28253333,0.19765,0,100 - 17.9,8532.230454,---,8532.230454,8532.230454,,,,,,,,,,
18.28_469.0184m/z,,469.0183888,1,18.28253333,0.477983333,0,100 - 28.9,26234.02596,---,26234.02596,26234.02596,,,,,,,,,,
18.27_282.9751m/z,,282.9750737,1,18.26606667,0.165033333,0,100,2135.298336,---,2135.298336,2135.298336,,,,,,,,,,
